Topología de Red;Número de Nodos;Tiempo de Saturación
Lineal;4;20
Lineal;4;4
Lineal;4;5
Lineal;4;24
Lineal;4;17
Lineal;4;4
Lineal;4;9
Lineal;4;2
Lineal;4;6
Lineal;4;2
Lineal;4;26
Lineal;4;36
Lineal;4;11
Lineal;4;2
Lineal;4;19
Lineal;4;3
Lineal;4;52
Lineal;4;10
Lineal;4;2
Lineal;4;7
Lineal;4;6
Lineal;4;8
Lineal;4;4
Lineal;4;3
Lineal;4;15
Lineal;4;44
Lineal;4;7
Lineal;4;2
Lineal;4;7
Lineal;4;273
Lineal;4;5
Lineal;4;3
Lineal;4;13
Lineal;4;30
Lineal;4;8
Lineal;4;7
Lineal;4;3
Lineal;4;15
Lineal;4;326
Lineal;4;34
Lineal;4;3
Lineal;4;5
Lineal;4;6
Lineal;4;4
Lineal;4;6
Lineal;4;12
Lineal;4;15
Lineal;4;2
Lineal;4;5
Lineal;4;4
Lineal;4;90
Lineal;4;7
Lineal;4;19
Lineal;4;35
Lineal;4;10
Lineal;4;6
Lineal;4;60
Lineal;4;6
Lineal;4;8
Lineal;4;16
Lineal;4;5
Lineal;4;77
Lineal;4;5
Lineal;4;73
Lineal;4;1
Lineal;4;14
Lineal;4;4
Lineal;4;3
Lineal;4;9
Lineal;4;2
Lineal;4;13
Lineal;4;92
Lineal;4;12
Lineal;4;13
Lineal;4;5
Lineal;4;10
Lineal;4;6
Lineal;4;456
Lineal;4;12
Lineal;4;2
Lineal;4;9
Lineal;4;4
Lineal;4;2
Lineal;4;1
Lineal;4;17
Lineal;4;5
Lineal;4;6
Lineal;4;11
Lineal;4;12
Lineal;4;1065
Lineal;4;3
Lineal;4;9
Lineal;4;9
Lineal;4;1
Lineal;4;2
Lineal;4;24
Lineal;4;2
Lineal;4;9
Lineal;4;2
Lineal;4;14
Lineal;4;12
Lineal;4;4
Lineal;4;299
Lineal;4;6
Lineal;4;4
Lineal;4;13
Lineal;4;15
Lineal;4;3
Lineal;4;14
Lineal;4;6
Lineal;4;4
Lineal;4;11
Lineal;4;9
Lineal;4;6
Lineal;4;5
Lineal;4;5
Lineal;4;4
Lineal;4;2
Lineal;4;4
Lineal;4;22
Lineal;4;4
Lineal;4;4
Lineal;4;27
Lineal;4;3
Lineal;4;2
Lineal;4;3
Lineal;4;9
Lineal;4;3
Lineal;4;1
Lineal;4;9
Lineal;4;5
Lineal;4;10
Lineal;4;30
Lineal;4;7
Lineal;4;35
Lineal;4;3
Lineal;4;3
Lineal;4;2
Lineal;4;6
Lineal;4;6
Lineal;4;10
Lineal;4;6
Lineal;4;4
Lineal;4;11
Lineal;4;4
Lineal;4;8
Lineal;4;6
Lineal;4;143
Lineal;4;3
Lineal;4;2
Lineal;4;40
Lineal;4;126
Lineal;4;7
Lineal;4;7
Lineal;4;5
Lineal;4;5
Lineal;4;4
Lineal;4;6
Lineal;4;1
Lineal;4;2
Lineal;4;8
Lineal;4;9
Lineal;4;13
Lineal;4;8
Lineal;4;8
Lineal;4;450
Lineal;4;3
Lineal;4;8
Lineal;4;8
Lineal;4;20
Lineal;4;19
Lineal;4;34
Lineal;4;4
Lineal;4;2
Lineal;4;16
Lineal;4;3
Lineal;4;5
Lineal;4;4
Lineal;4;17
Lineal;4;5
Lineal;4;3
Lineal;4;9
Lineal;4;8
Lineal;4;4
Lineal;4;8
Lineal;4;3
Lineal;4;36
Lineal;4;25
Lineal;4;5
Lineal;4;13
Lineal;4;13
Lineal;4;6
Lineal;4;5
Lineal;4;3
Lineal;4;8
Lineal;4;12
Lineal;4;10
Lineal;4;3
Lineal;4;6
Lineal;4;14
Lineal;4;24
Lineal;4;8
Lineal;4;525
Lineal;4;7
Lineal;4;3
Lineal;4;5
Lineal;4;2
Lineal;4;7
Lineal;4;1
Lineal;4;2
Lineal;4;2
Lineal;4;8
Lineal;4;4
Lineal;4;47
Lineal;4;6
Lineal;4;2
Lineal;4;6
Lineal;4;29
Lineal;4;18
Lineal;4;12
Lineal;4;7
Lineal;4;12
Lineal;4;6
Lineal;4;1
Lineal;4;2
Lineal;4;2
Lineal;4;3
Lineal;4;4
Lineal;4;11
Lineal;4;6
Lineal;4;3
Lineal;4;5
Lineal;4;8
Lineal;4;4
Lineal;4;2
Lineal;4;10
Lineal;4;12296
Lineal;4;3
Lineal;4;4
Lineal;4;10
Lineal;4;7
Lineal;4;3
Lineal;4;8
Lineal;4;4
Lineal;4;12
Lineal;4;119
Lineal;4;7
Lineal;4;16
Lineal;4;20
Lineal;4;7
Lineal;4;23
Lineal;4;20
Lineal;4;5
Lineal;4;17
Lineal;4;10
Lineal;4;1
Lineal;4;5
Lineal;4;4
Lineal;4;12
Lineal;4;5
Lineal;4;2
Lineal;4;186
Lineal;4;2
Lineal;4;3
Lineal;4;8
Lineal;4;6
Lineal;4;2
Lineal;4;2
Lineal;4;43
Lineal;4;2
Lineal;4;5
Lineal;4;8
Lineal;4;23
Lineal;4;6
Lineal;4;4
Lineal;4;5
Lineal;4;12
Lineal;4;20
Lineal;4;2
Lineal;4;7
Lineal;4;5
Lineal;4;6
Lineal;4;11
Lineal;4;6
Lineal;4;3
Lineal;4;13
Lineal;4;3
Lineal;4;11
Lineal;4;6
Lineal;4;7
Lineal;4;11
Lineal;4;2
Lineal;4;1
Lineal;4;7
Lineal;4;21
Lineal;4;2
Lineal;4;7
Lineal;4;2
Lineal;4;19
Lineal;4;6
Lineal;4;2
Lineal;4;13
Lineal;4;1
Lineal;4;3
Lineal;4;3
Lineal;4;5
Lineal;4;4
Lineal;4;3
Lineal;4;7
Lineal;4;11
Lineal;4;5
Lineal;4;15
Lineal;4;3
Lineal;4;4
Lineal;4;7
Lineal;4;7
Lineal;4;5
Lineal;4;6
Lineal;4;12
Lineal;4;8
Lineal;4;6
Lineal;4;29
Lineal;4;7
Lineal;4;2
Lineal;4;1
Lineal;4;2
Lineal;4;65
Lineal;4;6
Lineal;4;1
Lineal;4;2
Lineal;4;8
Lineal;4;5
Lineal;4;4
Lineal;4;7
Lineal;4;3
Lineal;4;11
Lineal;4;5
Lineal;4;6
Lineal;4;19
Lineal;4;5
Lineal;4;5
Lineal;4;1
Lineal;4;7
Lineal;4;7
Lineal;4;3
Lineal;4;7
Lineal;4;2
Lineal;4;10
Lineal;4;14
Lineal;4;10
Lineal;4;9
Lineal;4;25
Lineal;4;6
Lineal;4;9
Lineal;4;6
Lineal;4;9
Lineal;4;14
Lineal;4;12
Lineal;4;2
Lineal;4;2
Lineal;4;23
Lineal;4;1
Lineal;4;8
Lineal;4;4
Lineal;4;8
Lineal;4;12
Lineal;4;6
Lineal;4;7
Lineal;4;7
Lineal;4;4
Lineal;4;27
Lineal;4;15
Lineal;4;5
Lineal;4;38
Lineal;4;6
Lineal;4;17
Lineal;4;15
Lineal;4;6
Lineal;4;8
Lineal;4;3
Lineal;4;453
Lineal;4;5
Lineal;4;6
Lineal;4;86
Lineal;4;3
Lineal;4;3
Lineal;4;40
Lineal;4;8
Lineal;4;37
Lineal;4;78
Lineal;4;3
Lineal;4;8
Lineal;4;6
Lineal;4;5
Lineal;4;3
Lineal;4;1
Lineal;4;3
Lineal;4;47
Lineal;4;15
Lineal;4;11
Lineal;4;2
Lineal;4;8
Lineal;4;2
Lineal;4;24
Lineal;4;104
Lineal;4;12
Lineal;4;38
Lineal;4;23
Lineal;4;2
Lineal;4;3
Lineal;4;4
Lineal;4;14
Lineal;4;5
Lineal;4;2
Lineal;4;4
Lineal;4;3
Lineal;4;2
Lineal;4;3
Lineal;4;11
Lineal;4;1
Lineal;4;5
Lineal;4;6
Lineal;4;4
Lineal;4;12
Lineal;4;6
Lineal;4;2
Lineal;4;4
Lineal;4;7
Lineal;4;2
Lineal;4;6
Lineal;4;13
Lineal;4;4
Lineal;4;10
Lineal;4;20
Lineal;4;24
Lineal;4;10
Lineal;4;95
Lineal;4;5
Lineal;4;4
Lineal;4;3
Lineal;4;10
Lineal;4;6
Lineal;4;12
Lineal;4;9
Lineal;4;2
Lineal;4;4
Lineal;4;2
Lineal;4;12
Lineal;4;10
Lineal;4;4
Lineal;4;35
Lineal;4;2
Lineal;4;4
Lineal;4;3
Lineal;4;303
Lineal;4;6
Lineal;4;12
Lineal;4;22
Lineal;4;19
Lineal;4;23
Lineal;4;2
Lineal;4;36
Lineal;4;17
Lineal;4;3
Lineal;4;7
Lineal;4;3
Lineal;4;3
Lineal;4;1
Lineal;4;3
Lineal;4;3
Lineal;4;3
Lineal;4;7
Lineal;4;7
Lineal;4;5
Lineal;4;2
Lineal;4;2
Lineal;4;6
Lineal;4;162
Lineal;4;2
Lineal;4;962
Lineal;4;4
Lineal;4;14
Lineal;4;12
Lineal;4;1
Lineal;4;6
Lineal;4;3
Lineal;4;6
Lineal;4;8
Lineal;4;13
Lineal;4;3
Lineal;4;17
Lineal;4;9
Lineal;4;4
Lineal;4;7
Lineal;4;465
Lineal;4;138
Lineal;4;6
Lineal;4;6
Lineal;4;17
Lineal;4;10
Lineal;4;5
Lineal;4;6
Lineal;4;4
Lineal;4;1
Lineal;4;7
Lineal;4;2
Lineal;4;5
Lineal;4;2
Lineal;4;2
Lineal;4;4
Lineal;4;7
Lineal;4;4
Lineal;4;4
Lineal;4;1
Lineal;4;11
Lineal;4;43
Lineal;4;1113
Lineal;4;2
Lineal;4;38
Lineal;4;6
Lineal;4;2
Lineal;4;8
Lineal;4;8
Lineal;4;2
Lineal;4;11
Lineal;4;8
Lineal;4;166
Lineal;4;3
Lineal;4;1
Lineal;4;6
Lineal;5;13
Lineal;5;11
Lineal;5;23
Lineal;5;4
Lineal;5;9
Lineal;5;2
Lineal;5;12
Lineal;5;10
Lineal;5;4
Lineal;5;11
Lineal;5;7
Lineal;5;2
Lineal;5;577
Lineal;5;77
Lineal;5;4
Lineal;5;13
Lineal;5;8
Lineal;5;9
Lineal;5;19
Lineal;5;7
Lineal;5;11
Lineal;5;2
Lineal;5;14
Lineal;5;7
Lineal;5;6
Lineal;5;8
Lineal;5;1
Lineal;5;21
Lineal;5;4
Lineal;5;16
Lineal;5;31
Lineal;5;5
Lineal;5;19
Lineal;5;9
Lineal;5;8
Lineal;5;2
Lineal;5;6
Lineal;5;13
Lineal;5;13
Lineal;5;14
Lineal;5;5
Lineal;5;5
Lineal;5;5
Lineal;5;36
Lineal;5;6
Lineal;5;56
Lineal;5;5
Lineal;5;9
Lineal;5;53
Lineal;5;6
Lineal;5;1
Lineal;5;6
Lineal;5;81
Lineal;5;241
Lineal;5;25
Lineal;5;6
Lineal;5;12
Lineal;5;6
Lineal;5;13
Lineal;5;20
Lineal;5;2
Lineal;5;7
Lineal;5;17
Lineal;5;1
Lineal;5;6
Lineal;5;44
Lineal;5;6
Lineal;5;4
Lineal;5;27
Lineal;5;24
Lineal;5;15
Lineal;5;2
Lineal;5;5
Lineal;5;7
Lineal;5;9
Lineal;5;3
Lineal;5;12
Lineal;5;9
Lineal;5;54
Lineal;5;6
Lineal;5;8
Lineal;5;65
Lineal;5;15
Lineal;5;6
Lineal;5;6
Lineal;5;3
Lineal;5;3
Lineal;5;7
Lineal;5;1
Lineal;5;6
Lineal;5;11
Lineal;5;11
Lineal;5;2
Lineal;5;4
Lineal;5;25
Lineal;5;5
Lineal;5;13
Lineal;5;2
Lineal;5;5
Lineal;5;3
Lineal;5;254
Lineal;5;16
Lineal;5;10
Lineal;5;8
Lineal;5;37
Lineal;5;3
Lineal;5;143
Lineal;5;8
Lineal;5;2
Lineal;5;9
Lineal;5;24
Lineal;5;5
Lineal;5;75
Lineal;5;5
Lineal;5;3
Lineal;5;2
Lineal;5;3
Lineal;5;6
Lineal;5;11
Lineal;5;39
Lineal;5;6
Lineal;5;15
Lineal;5;5
Lineal;5;7
Lineal;5;5
Lineal;5;9
Lineal;5;16
Lineal;5;2
Lineal;5;83
Lineal;5;1
Lineal;5;499
Lineal;5;10
Lineal;5;12
Lineal;5;38
Lineal;5;2
Lineal;5;9
Lineal;5;4
Lineal;5;13
Lineal;5;2
Lineal;5;17
Lineal;5;1
Lineal;5;10
Lineal;5;36
Lineal;5;8
Lineal;5;3
Lineal;5;3
Lineal;5;8
Lineal;5;3
Lineal;5;6
Lineal;5;64
Lineal;5;57
Lineal;5;4
Lineal;5;4
Lineal;5;9
Lineal;5;3
Lineal;5;2
Lineal;5;10
Lineal;5;3
Lineal;5;2
Lineal;5;43
Lineal;5;13
Lineal;5;8
Lineal;5;13
Lineal;5;7
Lineal;5;36
Lineal;5;16
Lineal;5;2
Lineal;5;5
Lineal;5;146
Lineal;5;13
Lineal;5;4
Lineal;5;7
Lineal;5;16
Lineal;5;7
Lineal;5;13
Lineal;5;9
Lineal;5;5
Lineal;5;5
